datetime,Open,High,Low,Close,Volume
2024-06-13 13:26:00,67971.42,67972.95,67962.31,67972.95,0.04641698
2024-06-13 13:27:00,67952.24,67973.0,67952.24,67973.0,0.00643666
2024-06-13 13:28:00,67992.91,68002.2,67977.05,67977.06,0.1297941
2024-06-13 13:29:00,67998.06,68098.01,67998.06,68043.01,0.50435783
2024-06-13 13:30:00,68035.57,68091.41,67998.49,67998.49,0.16506975
2024-06-13 13:31:00,67990.89,68094.58,67972.41,68094.58,1.14413402
2024-06-13 13:32:00,68114.42,68134.09,68078.31,68102.18,0.28865364
2024-06-13 13:33:00,68047.5,68105.95,68047.5,68074.93,0.59490292
2024-06-13 13:34:00,68068.73,68130.45,68068.73,68125.98,0.88313098
2024-06-13 13:35:00,68148.64,68148.65,68056.13,68056.13,0.15865514
2024-06-13 13:36:00,68070.4,68146.84,68070.4,68144.69,0.19655733
2024-06-13 13:37:00,68134.87,68218.18,68134.87,68212.91,0.14976462
2024-06-13 13:38:00,68191.06,68248.14,68191.06,68248.14,0.15123196
2024-06-13 13:39:00,68221.77,68274.33,68221.77,68262.16,0.18465856
2024-06-13 13:40:00,68265.56,68267.93,68250.18,68255.36,0.51311925
2024-06-13 13:41:00,68234.77,68246.34,68183.95,68246.34,0.81020374
2024-06-13 13:42:00,68195.36,68207.62,68195.36,68203.77,0.01555843
2024-06-13 13:43:00,68161.76,68170.96,68127.68,68140.71,0.11025629
2024-06-13 13:44:00,68101.98,68104.71,68061.78,68061.78,0.19730387
2024-06-13 13:45:00,68048.31,68048.31,68023.65,68035.05,0.17785473
2024-06-13 13:46:00,68003.32,68003.32,67944.43,67944.43,0.1242139
2024-06-13 13:47:00,67938.08,67945.8,67895.91,67923.92,0.66762885
2024-06-13 13:48:00,67911.2,67941.65,67911.2,67911.69,0.65733638
2024-06-13 13:49:00,67920.68,67971.77,67920.68,67971.77,0.23734512
2024-06-13 13:50:00,67925.89,67930.55,67918.81,67922.4,0.0443886
2024-06-13 13:51:00,67881.23,67881.23,67749.25,67749.25,0.62945774
